accession	tree_name	organism	assembly	isolate	strain	serotype	segment	length	host	Taxonomy_ID	GenBank_Count
NC_044047.1	Norovirus_dog_GVI_1_HKU_Ca026F_2007_HKG	Norovirus dog/GVI.1/HKU_Ca026F/2007/HKG	GCF_007609015.1		dog/GVI.1/HKU_Ca026F/2007/HKG			7637	Canis lupus familiaris	3431196	63009
NC_029646.1	Norwalk_like_virus	Norwalk-like virus	GCF_001595695.1		Hu/Norovirus/hiroshima/1999/JP(9912-02F)			7518		3431196	63009
NC_031324.1	Primate_norovirus	Primate norovirus	GCF_001755385.1		SimianNoV-nj			7753		3431196	63009
NC_004455.1	Simian_immunodeficiency_virus_SIV_mnd_2	Simian immunodeficiency virus SIV-mnd 2	GCF_000851745.1	SIVmnd-2				9518	Mandrillus sphinx	3418654	59941
NC_001781.1	Human_orthopneumovirus_B1	Human orthopneumovirus	GCF_000855545.1		B1			15225		3049954	59101
NC_038235.1	Human_orthopneumovirus_NC_038235_1	Human orthopneumovirus	GCF_002815475.1					15222		3049954	59101
NC_001803.1	Human_respiratory_syncytial_virus_A	Human respiratory syncytial virus A	GCF_000856445.1		S2 ts1C			15191		3049954	59101
NC_001477.1	dengue_virus_type_1	dengue virus type 1	GCF_000862125.1					10735		3052464	53911
NC_001474.2	dengue_virus_type_2	dengue virus type 2	GCF_000871845.1		16681			10723		3052464	53911
NC_001475.2	dengue_virus_type_3	dengue virus type 3	GCF_000866625.1	D3/H/IMTSSA-SRI/2000/1266				10707		3052464	53911
NC_002640.1	dengue_virus_type_4	dengue virus type 4	GCF_000865065.1					10649		3052464	53911
NC_001961.1	Porcine_reproductive_and_respiratory_syndrome_virus	Porcine reproductive and respiratory syndrome virus	GCF_000862745.1					15428		2499685	49689
NC_038291.1	Porcine_reproductive_and_respiratory_syndrome_virus_2	Porcine reproductive and respiratory syndrome virus 2	GCF_002816115.1		ATCC VR-2332			15411	Sus scrofa	2499685	49689
NC_038306.1	Coxsackievirus_A2	Coxsackievirus A2	GCF_002816655.1	CA2	Fleetwood			7398		3428500	47778
NC_001612.1	Enterovirus_A	Enterovirus A	GCF_000861905.1					7413		3428500	47778
NC_030454.1	enterovirus_A114	enterovirus A114	GCF_001684625.1	V13-0285	V13-0285	EV-A114		7317	Homo sapiens	3428500	47778
NC_038307.1	Coxsackievirus_B3	Coxsackievirus B3	GCF_002816685.1					7399	Homo sapiens	3428502	32791
NC_001472.1	Enterovirus_B	Enterovirus B	GCF_000861325.1					7389		3428502	32791
NC_001542.1	Lyssavirus_rabies	Lyssavirus rabies	GCF_000859625.1					11932		11292	32086
NC_001461.1	Bovine_viral_diarrhea_virus_1	Bovine viral diarrhea virus 1	GCF_000861245.1		NADL			12573		3052619	25419
NC_076029.1	Bovine_viral_diarrhea_virus_1_SD1	Bovine viral diarrhea virus 1-SD1	GCF_013088505.1					12308		3052619	25419
NC_001498.1	Measles_morbillivirus	Measles morbillivirus	GCF_000854845.1		Ichinose-B95a			15894		3052345	24784
NC_001563.2	West_Nile_virus_956	West Nile virus	GCF_000861085.1		956			10962		3048448	24399
NC_009942.1	West_Nile_virus_385_99	West Nile virus	GCF_000875385.1	385-99	NY99			11029		3048448	24399
NC_001526.4	Human_papillomavirus_16	Human papillomavirus 16	GCF_000863945.2					7906		337041	22862
NC_048214.1	Duck_coronavirus	Duck coronavirus	GCF_012271565.1	DK/GD/27/2014				27754	Anatidae	3433766	19153
NC_001451.1	Infectious_bronchitis_virus_Beaudette	Infectious bronchitis virus	GCF_000862965.1		Beaudette			27608		3433766	19153
NC_048213.1	Infectious_bronchitis_virus_Ind_TN92_03	Infectious bronchitis virus	GCF_012271575.1	Ind-TN92-03				27464	Gallus gallus	3433766	19153
NC_010800.1	Turkey_coronavirus	Turkey coronavirus	GCF_000880055.1	MG10				27657	Meleagris gallopavo	3433766	19153
NC_039223.1	Avian_orthoavulavirus_1_JSD0812	Avian orthoavulavirus 1	GCF_002834085.1	JSD0812				15192	Anas platyrhynchos	3051375	16948
NC_075404.1	Avian_orthoavulavirus_1_chicken_N_Ireland_Ulster_67	Avian orthoavulavirus 1	GCF_004786615.1	chicken/N. Ireland/Ulster/67				15186		3051375	16948
NC_039210.1	Foot_and_mouth_disease_virus_O	Foot-and-mouth disease virus O	GCF_002816555.1	o6pirbright iso58	O6	O		8201		3426401	16298
NC_001434.1	Hepatitis_E_virus	Hepatitis E virus	GCF_000861105.1		Xinjiang			7176		291484	16232
NC_001659.2	African_swine_fever_virus_BA71V	African swine fever virus	GCF_000858485.1	BA71V	BA71V			170101		3426474	16067
NC_044941.1	African_swine_fever_virus_L60	African swine fever virus	GCF_003032865.1	L60	L60			182362	Sus scrofa domesticus	3426474	16067
NC_044942.1	African_swine_fever_virus_BA71	African swine fever virus	GCF_003032875.1	BA71	BA71			180365	Sus scrofa	3426474	16067
NC_044943.1	African_swine_fever_virus_NHV	African swine fever virus	GCF_003032885.1	NHV	NHV			172051	Sus scrofa domesticus	3426474	16067
NC_044944.1	African_swine_fever_virus_Kenya_1950	African swine fever virus	GCF_003032895.1	Kenya 1950				193886	Sus scrofa domesticus	3426474	16067
NC_044945.1	African_swine_fever_virus_Ken05_Tk1	African swine fever virus	GCF_003032905.1	Ken05/Tk1	Ken05/Tk1			191058		3426474	16067
NC_044946.1	African_swine_fever_virus_Ken06_Bus	African swine fever virus	GCF_003032915.1	Ken06.Bus	Ken06.Bus			184368		3426474	16067
NC_044947.1	African_swine_fever_virus_26544_OG10	African swine fever virus	GCF_003032925.1	26544/OG10				182906	Sus scrofa	3426474	16067
NC_044948.1	African_swine_fever_virus_Odintsovo_02_14	African swine fever virus	GCF_003032935.1	Odintsovo_02/14				189333	Sus scrofa	3426474	16067
NC_044949.1	African_swine_fever_virus_Warthog	African swine fever virus	GCF_003032945.1	Warthog				186528	Phacochoerus africanus	3426474	16067
NC_044950.1	African_swine_fever_virus_Warmbaths	African swine fever virus	GCF_003032955.1	Warmbaths				190773	Ixodoidea	3426474	16067
NC_044951.1	African_swine_fever_virus_Tengani_62	African swine fever virus	GCF_003032965.1	Tengani 62				185689		3426474	16067
NC_044952.1	African_swine_fever_virus_Pretorisuskop_96_4	African swine fever virus	GCF_003032975.1	Pretorisuskop/96/4				190324	Ornithodoros porcinus porcinus	3426474	16067
NC_044953.1	African_swine_fever_virus_Mkuzi_1979	African swine fever virus	GCF_003032985.1	Mkuzi 1979				192714	Ornithodoros	3426474	16067
NC_044954.1	African_swine_fever_virus_Malawi_Lil_20_1_1983	African swine fever virus	GCF_003032995.1	Malawi Lil-20/1 (1983)				187612	Ornithodoros	3426474	16067
NC_044955.1	African_swine_fever_virus_47_Ss_2008	African swine fever virus	GCF_003033005.1	47/Ss/2008				184638	Sus scrofa domesticus	3426474	16067
NC_044959.2	African_swine_fever_virus_ASFV_Georgia_2007_1	African swine fever virus	GCF_003047755.2	ASFV Georgia 2007/1				190584	Sus scrofa	3426474	16067
NC_044956.1	African_swine_fever_virus_Benin_97_1	African swine fever virus Benin 97/1	GCF_003047675.1	Benin 97/1				182284		3426474	16067
NC_044958.1	African_swine_fever_virus_E75	African swine fever virus E75	GCF_003047715.1		E75			181187		3426474	16067
NC_044957.1	African_swine_fever_virus_OURT_88_3	African swine fever virus OURT 88/3	GCF_003047695.1	OURT 88/3				171719		3426474	16067
NC_002058.3	Enterovirus_C	Enterovirus C	GCF_000861165.1	Human poliovirus 1 Mahoney	Human poliovirus 1 Mahoney			7440		3428505	15938
NC_002200.1	Mumps_orthorubulavirus	Mumps orthorubulavirus	GCF_000856685.1		Miyahara			15384		3052560	14594
NC_039199.1	Human_metapneumovirus	Human metapneumovirus	GCF_002815375.1	00-1				13350		3048148	13063
NC_006023.1	Bluetongue_virus_1	Bluetongue virus	GCF_000854445.3			10	1	3944		3431240	12842
NC_006014.1	Bluetongue_virus_3	Bluetongue virus	GCF_000854445.3				3	2772		3431240	12842
NC_006015.1	Bluetongue_virus_10	Bluetongue virus	GCF_000854445.3				10	822		3431240	12842
NC_006010.1	Bluetongue_virus_6	Bluetongue virus	GCF_000854445.3			10	6	1638		3431240	12842
NC_006007.1	Bluetongue_virus_8	Bluetongue virus	GCF_000854445.3			10	8	1125		3431240	12842
NC_006013.2	Bluetongue_virus_2	Bluetongue virus	GCF_000854445.3				2	2921		3431240	12842
NC_006025.1	Bluetongue_virus_5	Bluetongue virus	GCF_000854445.3			10	5	1769		3431240	12842
NC_006022.1	Bluetongue_virus_7	Bluetongue virus	GCF_000854445.3	serotype 10	serotype 10		7	1156		3431240	12842
NC_006008.2	Bluetongue_virus_9	Bluetongue virus	GCF_000854445.3			10	9	1049		3431240	12842
NC_006024.2	Bluetongue_virus_4	Bluetongue virus	GCF_000854445.3			10	4	1980		3431240	12842
NC_007605.1	Human_gammaherpesvirus_4	Human gammaherpesvirus 4	GCF_002402265.1		B95-8			171823	Homo sapiens	3050299	12689
NC_009334.1	Human_herpesvirus_4_type_2	Human herpesvirus 4 type 2	GCF_000872045.1		AG876			172764	Homo sapiens	3050299	12689
NC_005148.1	Porcine_circovirus_2_AUT1	Porcine circovirus 2	GCF_000862765.1	AUT1				1768		3048279	12431
NC_006232.1	Porcine_circovirus_2_JX0301	Porcine circovirus 2	GCF_002819625.1		JX0301			1767	Sus scrofa	3048279	12431
NC_001617.1	Rhinovirus_A	Rhinovirus A	GCF_000862245.1			89		7152		3428501	12241
NC_038311.1	rhinovirus_A1	rhinovirus A1	GCF_002816835.1		ATCC VR-1559			7137		3428501	12241
NC_074955.1	Paslahepevirus_balayani_NC_074955_1	Paslahepevirus balayani	GCF_002826225.1					7207		1678143	11595
NC_076565.1	Paslahepevirus_balayani_AlgSwe2012	Paslahepevirus balayani	GCF_023120075.1	AlgSwe2012				7002	Alces alces	1678143	11595
NC_076592.1	Paslahepevirus_balayani_little_egret_kocsag02_2014_HUN	Paslahepevirus balayani	GCF_023120345.1	little egret/kocsag02/2014/HUN				6660	Egretta garzetta	1678143	11595
NC_001489.1	Hepatovirus_A	Hepatovirus A	GCF_000860505.1					7478		3407641	11470
NC_006273.2	Human_betaherpesvirus_5	Human betaherpesvirus 5	GCF_000845245.1		Merlin			235646	Homo sapiens	3050295	11459
NC_015783.1	Torque_teno_virus_TTV_HD14a_gbDhDi33_32	Torque teno virus	GCF_000893775.1	TTV-HD14a (gbDhDi33.32)				3725		68887	11246
NC_076138.1	Torque_teno_virus_TTV_Hebei_1	Torque teno virus	GCF_018580245.1	TTV-Hebei-1				3649		68887	11246
NC_076168.1	Torque_teno_virus_Human_Japan_KS025_2016	Torque teno virus	GCF_018580895.1		Human/Japan/KS025/2016			2810	Homo sapiens	68887	11246
NC_003310.1	Monkeypox_virus_Ia	Monkeypox virus	GCF_000857045.1		Zaire-96-I-16	Ia		196858	Homo sapiens	3431483	10762
NC_063383.1	Monkeypox_virus_IIb	Monkeypox virus	GCF_014621545.1	MPXV-M5312_HM12_Rivers		IIb		197209	Homo sapiens	3431483	10762
NC_027779.1	Human_papillomavirus	Human papillomavirus	GCF_001274345.1	SE379				7320	Homo sapiens	10566	10727
NC_001539.1	Canine_parvovirus	Canine parvovirus	GCF_000848925.1		CPV-N			5323		3052707	10670
NC_001806.2	Human_alphaherpesvirus_1	Human alphaherpesvirus 1	GCF_000859985.1		17			152222		3050292	10640
NC_001436.1	Human_T_cell_leukemia_virus_type_I	Human T-cell leukemia virus type I	GCF_000863585.1					8507		3428212	9893
NC_000858.1	Primate_T_lymphotropic_virus_1	Primate T-lymphotropic virus 1	GCF_000861125.1	Tan90				9028		3428212	9893
NC_018138.1	SFTS_virus_HB29_M	SFTS virus HB29	GCF_000897355.1		HB29		M	3378	Homo sapiens	2748958	9485
NC_018137.1	SFTS_virus_HB29_S	SFTS virus HB29	GCF_000897355.1		HB29		S	1744	Homo sapiens	2748958	9485
NC_018136.1	SFTS_virus_HB29_L	SFTS virus HB29	GCF_000897355.1		HB29		L	6368	Homo sapiens	2748958	9485
NC_043450.1	Severe_fever_with_thrombocytopenia_syndrome_virus_L	Severe fever with thrombocytopenia syndrome virus	GCF_003087855.1		HNXH		L	6255	Homo sapiens	2748958	9485
NC_043451.1	Severe_fever_with_thrombocytopenia_syndrome_virus_M	Severe fever with thrombocytopenia syndrome virus	GCF_003087855.1		HNXH		M	3336	Homo sapiens	2748958	9485
NC_043452.1	Severe_fever_with_thrombocytopenia_syndrome_virus_S	Severe fever with thrombocytopenia syndrome virus	GCF_003087855.1		HNXH		S	1681	Homo sapiens	2748958	9485
NC_001798.2	Human_alphaherpesvirus_2	Human alphaherpesvirus 2	GCF_000858385.1		HG52			154675	Homo sapiens	3050293	8900
NC_004162.2	Chikungunya_virus	Chikungunya virus	GCF_000854045.1		S27-African prototype			11826		3426298	8766
NC_003436.1	Porcine_epidemic_diarrhea_virus	Porcine epidemic diarrhea virus	GCF_000848685.1	CV777	CV777			28033		3433789	8565
NC_038878.1	Human_rhinovirus_NAT001	Human rhinovirus NAT001	GCF_002816885.1	NAT001				6944		3428504	8431
NC_009996.1	Rhinovirus_C	Rhinovirus C	GCF_000872325.1	024	024			7099		3428504	8431
NC_004179.1	Infectious_bursal_disease_virus_UK661_B	Infectious bursal disease virus	GCF_000855485.1	UK661	Very virulent strain		B	2715	Gallus gallus	3048151	8182
NC_004178.1	Infectious_bursal_disease_virus_UK661_A	Infectious bursal disease virus	GCF_000855485.1	UK661	Very virulent strain		A	3183	Gallus gallus	3048151	8182
NC_077770.1	Infectious_bursal_disease_virus_1977_from_Schobries_et_al_1977_B	Infectious bursal disease virus	GCF_003971645.1	1977 from Schobries et al (1977)	P2		B	2827		3048151	8182
NC_077769.1	Infectious_bursal_disease_virus_1977_from_Schobries_et_al_1977_A	Infectious bursal disease virus	GCF_003971645.1	1977, from Schobries et al (1977)	P2		A	3261		3048151	8182
NC_001661.1	Citrus_tristeza_virus	Citrus tristeza virus	GCF_000862265.1					19296		3428013	7645
NC_001722.1	Human_immunodeficiency_virus_2	Human immunodeficiency virus 2	GCF_000856385.1	BEN				10359	Homo sapiens	3418651	7606
NC_001430.1	Enterovirus_D	Enterovirus D	GCF_000861205.1	Enterovirus 70	Enterovirus 70			7390		3428506	7467
NC_038308.1	enterovirus_D68	enterovirus D68	GCF_002816725.1		Fermon			7367		3428506	7467
NC_003636.1	Peach_latent_mosaic_viroid	Peach latent mosaic viroid	GCF_000850605.1					337		3431559	7263
NC_038319.1	Human_parechovirus_1	Human parechovirus 1	GCF_002817305.1					7339		3431395	7163
NC_001897.1	Parechovirus_A	Parechovirus A	GCF_000861505.1	Gregory	Gregory	2		7348		3431395	7163
AC_000019.1	Human_adenovirus_35	Human adenovirus 35	GCF_000857885.1			35		34794		3241406	6742
AC_000018.1	Human_adenovirus_7	Human adenovirus 7	GCF_000859485.1			7		35514		3241406	6742
NC_011202.1	Human_mastadenovirus_B_Human_adenovirus_11	Human mastadenovirus B	GCF_000857085.1	Slobitski	Slobitski	Human adenovirus 11		34794	Homo sapiens	3241406	6742
NC_011203.1	Human_mastadenovirus_B_Human_adenovirus_3	Human mastadenovirus B	GCF_000880515.1	GB	GB	Human adenovirus 3		35343	Homo sapiens	3241406	6742
AC_000010.1	Simian_adenovirus_21	Simian adenovirus 21	GCF_000847245.1			Simian adenovirus 21		35524		3241406	6742
NC_020498.1	TTV_like_mini_virus_TTMV_LY1	TTV-like mini virus	GCF_000905335.1	TTMV_LY1				2912	Homo sapiens	93678	6725
NC_076131.1	TTV_like_mini_virus_TTMV_LY3	TTV-like mini virus	GCF_018580125.1	TTMV_LY3				2915	Homo sapiens	93678	6725
NC_076135.1	TTV_like_mini_virus_D11	TTV-like mini virus	GCF_018580215.1	D11				2853	Homo sapiens	93678	6725
NC_076155.1	TTV_like_mini_virus_Emory1	TTV-like mini virus	GCF_018580655.1	Emory1				2830	Homo sapiens	93678	6725
NC_076156.1	TTV_like_mini_virus_Emory2	TTV-like mini virus	GCF_018580665.1	Emory2				2938	Homo sapiens	93678	6725
NC_076166.1	TTV_like_mini_virus_zhenjiang	TTV-like mini virus	GCF_018580875.1	zhenjiang				2943	Homo sapiens	93678	6725
NC_076339.1	TTV_like_mini_virus_vzttmv4	TTV-like mini virus	GCF_018584815.1		vzttmv4			2907	Homo sapiens	93678	6725
NC_002306.3	Feline_infectious_peritonitis_virus	Feline infectious peritonitis virus	GCF_000856025.1	79-1146		2		29355		3433814	6529
NC_028806.1	Swine_enteric_coronavirus	Swine enteric coronavirus	GCF_001501415.1		Italy/213306/2009			28111	Sus scrofa	3433814	6529
NC_038861.1	Transmissible_gastroenteritis_virus	Transmissible gastroenteritis virus	GCF_002985995.1	PUR46-MAD	Purdue			28586	Sus scrofa	3433814	6529
NC_004830.2	Deformed_wing_virus	Deformed wing virus	GCF_000852585.1					10140	Apis mellifera	3047792	6018
NC_006494.1	Varroa_destructor_virus_1	Varroa destructor virus 1	GCF_000856945.1					10112	Varroa destructor	3047792	6018
AC_000017.1	Human_adenovirus_1	Human adenovirus 1	GCF_000858645.1			1		36001		3241411	5960
AC_000008.1	Human_adenovirus_5	Human adenovirus 5	GCF_000857865.1			Human adenovirus type 5		35938		3241411	5960
NC_001699.1	JC_polyomavirus	JC polyomavirus	GCF_000863805.1		Mad1			5130		1891763	5927
NC_015126.1	Avian_orthoreovirus_AVS_B_L1	Avian orthoreovirus	GCF_000891595.1	AVS-B	AVS-B		L1	3958		3431493	5869
NC_015135.1	Avian_orthoreovirus_AVS_B_S4	Avian orthoreovirus	GCF_000891595.1	AVS-B	AVS-B		S4	1192		3431493	5869
NC_015132.1	Avian_orthoreovirus_AVS_B_S1	Avian orthoreovirus	GCF_000891595.1	AVS-B	AVS-B		S1	1645		3431493	5869
NC_015134.1	Avian_orthoreovirus_AVS_B_S3	Avian orthoreovirus	GCF_000891595.1	AVS-B	AVS-B		S3	1202		3431493	5869
NC_015129.1	Avian_orthoreovirus_AVS_B_M1	Avian orthoreovirus	GCF_000891595.1	AVS-B	AVS-B		M1	2283		3431493	5869
NC_015131.1	Avian_orthoreovirus_AVS_B_M3	Avian orthoreovirus	GCF_000891595.1	AVS-B	AVS-B		M3	1996		3431493	5869
NC_077757.1	Avian_orthoreovirus_Pycno_1_M1	Avian orthoreovirus	GCF_003092915.1		Pycno-1		M1	2287	Hypsipetes amaurotis	3431493	5869
NC_077759.1	Avian_orthoreovirus_Pycno_1_S1	Avian orthoreovirus	GCF_003092915.1		Pycno-1		S1	1637	Hypsipetes amaurotis	3431493	5869
NC_077751.1	Avian_orthoreovirus_Pycno_1_M3	Avian orthoreovirus	GCF_003092915.1		Pycno-1		M3	2039	Hypsipetes amaurotis	3431493	5869
NC_077755.1	Avian_orthoreovirus_Pycno_1_S4	Avian orthoreovirus	GCF_003092915.1		Pycno-1		S4	1201	Hypsipetes amaurotis	3431493	5869
NC_077760.1	Avian_orthoreovirus_Pycno_1_S3	Avian orthoreovirus	GCF_003092915.1		Pycno-1		S3	1205	Hypsipetes amaurotis	3431493	5869
NC_077756.1	Avian_orthoreovirus_Pycno_1_L3	Avian orthoreovirus	GCF_003092915.1		Pycno-1		L3	3903	Hypsipetes amaurotis	3431493	5869
NC_002051.1	Orthotospovirus_tomatomaculae_S	Orthotospovirus tomatomaculae	GCF_000854725.1	CPNH9			S	2916		3052585	5676
NC_002050.1	Orthotospovirus_tomatomaculae_M	Orthotospovirus tomatomaculae	GCF_000854725.1				M	4821		3052585	5676
NC_006554.1	Sapovirus_C12	Sapovirus C12	GCF_000855765.1		C12			7476		3432266	5658
NC_006269.1	Sapovirus_Hu_Dresden_pJG_Sap01_DE	Sapovirus Hu/Dresden/pJG-Sap01/DE	GCF_000854265.1		Hu/Dresden/pJG-Sap01/DE			7429		3432266	5658
NC_075724.1	Sapovirus_Hu_GI_Sapporo_MT_2010_1982	Sapovirus Hu/GI/Sapporo/MT-2010/1982	GCF_008792745.1		Hu/GI/Sapporo/MT-2010/1982			7433	Homo sapiens	3432266	5658
NC_027026.1	Sapovirus_Hu_Nagoya_NGY_1_2012_JPN	Sapovirus Hu/Nagoya/NGY-1/2012/JPN	GCF_001008475.1		Hu/SaV/Nagoya/NGY-1/2012/JPN	GV.2		7521		3432266	5658
NC_007573.1	Rotavirus_C_11	Rotavirus C	GCF_000864225.1	Bristol	Bristol		11	613		3432203	5622
NC_007572.1	Rotavirus_C_3	Rotavirus C	GCF_000864225.1	Bristol	Bristol		3	2283		3432203	5622
NC_007545.1	Rotavirus_C_9	Rotavirus C	GCF_000864225.1	Bristol	Bristol		9	1037		3432203	5622
NC_007544.1	Rotavirus_C_7	Rotavirus C	GCF_000864225.1	Bristol	Bristol		7	1270		3432203	5622
NC_007571.1	Rotavirus_C_8	Rotavirus C	GCF_000864225.1	Bristol			8	1063		3432203	5622
NC_007569.1	Rotavirus_C_10	Rotavirus C	GCF_000864225.1	4077-89	Bristol		10	730		3432203	5622
NC_007574.1	Rotavirus_C_4	Rotavirus C	GCF_000864225.1	Bristol	Bristol		4	2166		3432203	5622
NC_001463.1	Caprine_arthritis_encephalitis_virus	Caprine arthritis encephalitis virus	GCF_000857525.1					9189		3418647	5575
NC_001440.1	Cucumber_mosaic_virus_RNA_3	Cucumber mosaic virus	GCF_000864745.1	Fny	Fny		RNA 3	2216		3428131	5163
NC_005300.2	Orthonairovirus_haemorrhagiae_M	Orthonairovirus haemorrhagiae	GCF_000854165.1		IbAr10200		M	5366	Hyalomma excavatum	3052518	5079
NC_009333.1	Human_gammaherpesvirus_8	Human gammaherpesvirus 8	GCF_000838265.1		GK18			137969	Homo sapiens	3050300	5041
NC_040671.1	Adeno_associated_virus	Adeno-associated virus	GCF_004129875.1	MHH-05-2015				4857	Cairina moschata	272636	4601
NC_036469.1	Piscine_orthoreovirus_M1	Piscine orthoreovirus	GCF_002829625.1	CGA280-05			M1	2383	Salmo salar	3431498	4499
NC_036471.1	Piscine_orthoreovirus_M3	Piscine orthoreovirus	GCF_002829625.1	CGA280-05			M3	2403	Salmo salar	3431498	4499
NC_036470.1	Piscine_orthoreovirus_M2	Piscine orthoreovirus	GCF_002829625.1	CGA280-05			M2	2179	Salmo salar	3431498	4499
NC_036474.1	Piscine_orthoreovirus_S3	Piscine orthoreovirus	GCF_002829625.1	CGA280-05			S3	1141	Salmo salar	3431498	4499
NC_036472.1	Piscine_orthoreovirus_S1	Piscine orthoreovirus	GCF_002829625.1	CGA280-05			S1	1081	Salmo salar	3431498	4499
NC_036475.1	Piscine_orthoreovirus_S4	Piscine orthoreovirus	GCF_002829625.1	CGA280-05			S4	1040	Salmo salar	3431498	4499
NC_001538.1	Betapolyomavirus_hominis	Betapolyomavirus hominis	GCF_000837865.1					5153		1891762	4471
NC_002657.1	Classical_swine_fever_virus	Classical swine fever virus	GCF_000864685.1		strain Eystrup			12301		3052625	4366
NC_038912.1	Classical_swine_fever_virus_Alfort_187	Classical swine fever virus - Alfort/187	GCF_003034095.1		Alfort/187			12298		3052625	4366
NC_001653.2	Hepatitis_delta_virus_NC_001653_2	Hepatitis delta virus	GCF_000856565.1					1682		2844074	4223
NC_076106.1	Hepatitis_delta_virus_dFr2072	Hepatitis delta virus	GCF_018547915.1	dFr2072	dFr2072			1681		2844074	4223
NC_076108.1	Hepatitis_delta_virus_dFr2158	Hepatitis delta virus	GCF_018547935.1	dFr2158	dFr2158			1674		2844074	4223
NC_059681.1	hepatitis_D_virus_1	hepatitis D virus 1	GCF_018547865.1		TW2667			1676		2844074	4223
NC_001414.1	Bovine_leukemia_virus	Bovine leukemia virus	GCF_000853665.1					8419		3428211	4180
NC_001796.2	Human_respirovirus_3_NC_001796_2	Human respirovirus 3	GCF_000850205.1					15462		3049953	3890
NC_075446.1	Human_respirovirus_3_Guangzhou	Human respirovirus 3	GCF_006298365.1	Guangzhou	ZHYMgz01			15462		3049953	3890
NC_001921.1	canine_distemper_virus	canine distemper virus	GCF_000854065.1	Onderstpoort				15690		3052342	3865
NC_022518.1	Human_endogenous_retrovirus_K113	Human endogenous retrovirus K113	GCF_000913595.1					9472	Homo sapiens	45617	3576
NC_001454.1	Human_mastadenovirus_F	Human mastadenovirus F	GCF_000846685.1	Dugan	Dugan	Human adenovirus 40		34214	Homo sapiens	3241426	3509
NC_001672.1	Tick_borne_encephalitis_virus	Tick-borne encephalitis virus	GCF_000863125.1					11141	Mus musculus	3052465	3500
NC_006016.1	Orbivirus_alphaequi_8	Orbivirus alphaequi	GCF_000856125.1		serotype 9		8	1166		40050	3236
