accession	tree_name	organism	assembly	isolate	strain	serotype	segment	length	host	Taxonomy_ID	GenBank_Count
NC_007455.1	Bocaparvovirus_primate1_st2	Bocaparvovirus primate1	GCF_000866725.1	st2				5299		3052040	1703
NC_075120.1	Bocaparvovirus_primate1_Salvador1	Bocaparvovirus primate1	GCF_003033285.1	Salvador1				5543	Homo sapiens	3052040	1703
NC_014358.1	Bocavirus_gorilla_GBoV1_2009	Bocavirus gorilla/GBoV1/2009	GCF_000889135.1	GBoV1				4944	Gorilla gorilla	3052040	1703
NC_012564.1	Human_bocavirus_3	Human bocavirus 3	GCF_000882855.1		W471			5242	Homo sapiens	3052040	1703
NC_001491.2	Equid_alphaherpesvirus_1	Equid alphaherpesvirus 1	GCF_000844025.1		Ab4			150224	Equus caballus	3050276	1700
NC_006623.1	Gallid_alphaherpesvirus_1_Composite_of_6_strains	Gallid alphaherpesvirus 1	GCF_000847005.1		Composite of 6 strains			148687	Gallus gallus	3050286	1629
NC_075683.1	Gallid_alphaherpesvirus_1_SA2	Gallid alphaherpesvirus 1	GCF_008787145.1		SA2			152975	Gallus gallus	3050286	1629
NC_003224.1	Zucchini_yellow_mosaic_virus	Zucchini yellow mosaic virus	GCF_000861645.1	TW-TN3				9591	Luffa aegyptiaca	3240514	1622
NC_001915.1	Infectious_pancreatic_necrosis_virus_A	Infectious pancreatic necrosis virus	GCF_000856525.1		Jasper		A	3097		3048153	1615
NC_001916.1	Infectious_pancreatic_necrosis_virus_B	Infectious pancreatic necrosis virus	GCF_000856525.1		Jasper serotype		B	2784		3048153	1615
NC_023422.1	Caprine_kobuvirus	Caprine kobuvirus	GCF_000915315.1	12Q108				8305	Capra hircus	1298633	1583
NC_027054.1	Porcine_kobuvirus	Porcine kobuvirus	GCF_001008455.1	JS-02a-CHN/2014/China				8121	Sus scrofa	1298633	1583
NC_016769.1	Porcine_kobuvirus_SH_W_CHN_2010_China	Porcine kobuvirus SH-W-CHN/2010/China	GCF_000895935.1	SH-W-CHN/2010/China				8210	Sus scrofa	1298633	1583
NC_011829.1	Porcine_kobuvirus_swine_S_1_HUN_2007_Hungary	Porcine kobuvirus swine/S-1-HUN/2007/Hungary	GCF_000881035.1		swine/S-1-HUN/2007/Hungary			8210	Sus scrofa	1298633	1583
NC_005226.1	Orthohantavirus_tulaense_L	Orthohantavirus tulaense	GCF_000855225.1		Moravia/5302v/95		L	6541		3052503	1573
NC_005227.2	Orthohantavirus_tulaense_S	Orthohantavirus tulaense	GCF_000855225.1		Tula/Moravia/5302Ma/94		S	1831		3052503	1573
NC_005228.1	Orthohantavirus_tulaense_M	Orthohantavirus tulaense	GCF_000855225.1		Moravia/5302v/95		M	3694		3052503	1573
NC_003784.1	Black_queen_cell_virus	Black queen cell virus	GCF_000851425.1		South African			8550	Apis mellifera	3047684	1548
NC_006262.1	Watermelon_mosaic_virus	Watermelon mosaic virus	GCF_000856625.1		WMV-Fr			10035		3240504	1538
NC_001351.1	Hop_stunt_viroid	Hop stunt viroid	GCF_000847785.1					302		3429801	1519
NC_004067.1	Pepino_mosaic_virus	Pepino mosaic virus	GCF_000856965.1	Sp-13				6450	Solanum lycopersicum	3433856	1508
NC_006551.1	Usutu_virus	Usutu virus	GCF_000854945.1		Vienna 2001			11066		3048443	1507
NC_000899.1	Fowl_aviadenovirus_D_Fowl_adenovirus_9	Fowl aviadenovirus D	GCF_000844285.1	A-2A	A-2A	Fowl adenovirus 9		45063		3426525	1500
AC_000013.1	Fowl_aviadenovirus_D_AC_000013_1	Fowl aviadenovirus D	GCF_000886795.1					45063		3426525	1500
NC_015782.2	Grapevine_Pinot_gris_virus	Grapevine Pinot gris virus	GCF_000894735.1					7259	Vitis vinifera	3432991	1488
NC_075974.1	Picornavirales_sp_RtRn_PicoV_YN2014	Picornavirales sp.	GCF_013086155.1	RtRn-PicoV/YN2014				8422	Rodentia	1955153	1466
NC_075975.1	Picornavirales_sp_RtCb_PicoV_HeB2014	Picornavirales sp.	GCF_013086165.1	RtCb-PicoV/HeB2014				8315	Rodentia	1955153	1466
NC_075978.1	Picornavirales_sp_RtNn_PicoV_HuB2015_1	Picornavirales sp.	GCF_013086195.1	RtNn-PicoV/HuB2015-1				8013	Rodentia	1955153	1466
NC_001593.1	Human_papillomavirus_type_53	Human papillomavirus type 53	GCF_000865685.1					7856		337050	1449
NC_039228.1	Koala_retrovirus	Koala retrovirus	GCF_002888855.1					8431		3428957	1449
NC_038889.1	human_papillomavirus_30	human papillomavirus 30	GCF_002987345.1					7852		337050	1449
NC_003899.1	Eastern_equine_encephalitis_virus	Eastern equine encephalitis virus	GCF_000862705.1	ssp. North American variant	ssp. North American variant			11675		3426299	1430
NC_075280.1	Picornaviridae_sp	Picornaviridae sp.	GCF_003389975.1	yc-1				7443	Grus japonensis	1530251	1372
NC_001846.1	Murine_hepatitis_virus_MHV_A59	Murine hepatitis virus	GCF_000862345.1		MHV-A59			31357		3433759	1355
NC_048217.1	Murine_hepatitis_virus_A59	Murine hepatitis virus	GCF_003971785.1		A59			31335		3433759	1355
AC_000192.1	Murine_hepatitis_virus_strain_JHM	Murine hepatitis virus strain JHM	set:AC_000192					31526		3433759	1355
NC_012936.1	Rat_coronavirus_Parker	Rat coronavirus Parker	GCF_000886515.1		Parker			31250	Rattus	3433759	1355
NC_075288.1	Genomoviridae_sp_ctcj270	Genomoviridae sp.	GCF_003656345.1	ctcj270				2180		2202565	1352
NC_075305.1	Genomoviridae_sp_ctcg63	Genomoviridae sp.	GCF_003846465.1	ctcg63				2177		2202565	1352
NC_075306.1	Genomoviridae_sp_cthd64	Genomoviridae sp.	GCF_003846485.1	cthd64				2174		2202565	1352
NC_076296.1	Genomoviridae_sp_ctbb79	Genomoviridae sp.	GCF_018584275.1	ctbb79				2209		2202565	1352
NC_076297.1	Genomoviridae_sp_ctce776	Genomoviridae sp.	GCF_018584285.1	ctce776				2281		2202565	1352
NC_076298.1	Genomoviridae_sp_ctbh39	Genomoviridae sp.	GCF_018584295.1	ctbh39				2161		2202565	1352
NC_076299.1	Genomoviridae_sp_ctba85	Genomoviridae sp.	GCF_018584305.1	ctba85				2088		2202565	1352
NC_076300.1	Genomoviridae_sp_ctbh29	Genomoviridae sp.	GCF_018584315.1	ctbh29				2265		2202565	1352
NC_076301.1	Genomoviridae_sp_ctbf84	Genomoviridae sp.	GCF_018584325.1	ctbf84				2116		2202565	1352
NC_076302.1	Genomoviridae_sp_ctcf212	Genomoviridae sp.	GCF_018584335.1	ctcf212				2151	Melanogrammus aeglefinus	2202565	1352
NC_076303.1	Genomoviridae_sp_ctjb817	Genomoviridae sp.	GCF_018584415.1	ctjb817				2197		2202565	1352
NC_076304.1	Genomoviridae_sp_ctcg218	Genomoviridae sp.	GCF_018584425.1	ctcg218				2360		2202565	1352
NC_076305.1	Genomoviridae_sp_ctbh806	Genomoviridae sp.	GCF_018584435.1	ctbh806				2214		2202565	1352
NC_076306.1	Genomoviridae_sp_ctca70	Genomoviridae sp.	GCF_018584445.1	ctca70				2231		2202565	1352
NC_076307.1	Genomoviridae_sp_ctgb66	Genomoviridae sp.	GCF_018584455.1	ctgb66				2284		2202565	1352
NC_076308.1	Genomoviridae_sp_ctea93	Genomoviridae sp.	GCF_018584465.1	ctea93				2138		2202565	1352
NC_076309.1	Genomoviridae_sp_ctbe80	Genomoviridae sp.	GCF_018584475.1	ctbe80				2208		2202565	1352
NC_076310.1	Genomoviridae_sp_ctjj82	Genomoviridae sp.	GCF_018584485.1	ctjj82				2136		2202565	1352
NC_076311.1	Genomoviridae_sp_ctda73	Genomoviridae sp.	GCF_018584495.1	ctda73				2195		2202565	1352
NC_076312.1	Genomoviridae_sp_ctdb7	Genomoviridae sp.	GCF_018584505.1	ctdb7				2206		2202565	1352
NC_076313.1	Genomoviridae_sp_ctbi89	Genomoviridae sp.	GCF_018584515.1	ctbi89				2161		2202565	1352
NC_076314.1	Genomoviridae_sp_cthh214	Genomoviridae sp.	GCF_018584525.1	cthh214				2148	Melanogrammus aeglefinus	2202565	1352
NC_076315.1	Genomoviridae_sp_ctdb242	Genomoviridae sp.	GCF_018584535.1	ctdb242				2251		2202565	1352
NC_076316.1	Genomoviridae_sp_ctda_5	Genomoviridae sp.	GCF_018584545.1	ctda_5				2087	Metazoa	2202565	1352
NC_076317.1	Genomoviridae_sp_ctbd78	Genomoviridae sp.	GCF_018584555.1	ctbd78				2165		2202565	1352
NC_076318.1	Genomoviridae_sp_ctcd252	Genomoviridae sp.	GCF_018584565.1	ctcd252				2223		2202565	1352
NC_076319.1	Genomoviridae_sp_ctij207	Genomoviridae sp.	GCF_018584575.1	ctij207				2179	Melanogrammus aeglefinus	2202565	1352
NC_076320.1	Genomoviridae_sp_cted72	Genomoviridae sp.	GCF_018584585.1	cted72				2205		2202565	1352
NC_076321.1	Genomoviridae_sp_cthi275	Genomoviridae sp.	GCF_018584595.1	cthi275				2170		2202565	1352
NC_076322.1	Genomoviridae_sp_ctjg823	Genomoviridae sp.	GCF_018584605.1	ctjg823				2183		2202565	1352
NC_076323.1	Genomoviridae_sp_ctdb80	Genomoviridae sp.	GCF_018584615.1	ctdb80				2153		2202565	1352
NC_076324.1	Genomoviridae_sp_ctbi78	Genomoviridae sp.	GCF_018584625.1	ctbi78				2244	Oncorhynchus mykiss	2202565	1352
NC_076325.1	Genomoviridae_sp_ctcj747	Genomoviridae sp.	GCF_018584635.1	ctcj747				2359		2202565	1352
NC_076326.1	Genomoviridae_sp_ctcg277	Genomoviridae sp.	GCF_018584645.1	ctcg277				2160		2202565	1352
NC_076327.1	Genomoviridae_sp_ctce205	Genomoviridae sp.	GCF_018584655.1	ctce205				2194	Melanogrammus aeglefinus	2202565	1352
NC_076328.1	Genomoviridae_sp_ctci83	Genomoviridae sp.	GCF_018584665.1	ctci83				2133		2202565	1352
NC_076329.1	Genomoviridae_sp_ctbf8	Genomoviridae sp.	GCF_018584675.1	ctbf8				2181		2202565	1352
NC_076330.1	Genomoviridae_sp_ctji71	Genomoviridae sp.	GCF_018584685.1	ctji71				2209		2202565	1352
NC_076331.1	Genomoviridae_sp_ctjh74	Genomoviridae sp.	GCF_018584705.1	ctjh74				2185		2202565	1352
NC_076332.1	Genomoviridae_sp_ctbb31	Genomoviridae sp.	GCF_018584715.1	ctbb31				2237		2202565	1352
NC_076333.1	Genomoviridae_sp_ctba76	Genomoviridae sp.	GCF_018584725.1	ctba76				2176		2202565	1352
NC_076334.1	Genomoviridae_sp_ctgi38	Genomoviridae sp.	GCF_018584735.1	ctgi38				2189		2202565	1352
NC_076335.1	Genomoviridae_sp_ctbi86	Genomoviridae sp.	GCF_018584745.1	ctbi86				2173		2202565	1352
NC_076480.1	Genomoviridae_sp_bif24cir1	Genomoviridae sp.	GCF_018591135.1	bif24cir1				2178	Anser albifrons	2202565	1352
NC_076493.1	Genomoviridae_sp_6434_414	Genomoviridae sp.	GCF_018591265.1	6434_414				2175	unidentified	2202565	1352
NC_005831.2	Human_coronavirus_NL63	Human coronavirus NL63	GCF_000853865.1		Amsterdam I			27553		3433809	1324
NC_003461.1	Human_respirovirus_1	Human respirovirus 1	GCF_000848705.1		Washington 1964			15600		3049952	1289
NC_075105.1	Shrimp_white_spot_syndrome_virus	Shrimp white spot syndrome virus	GCF_003024735.1		WSSV-CN			305119		342409	1280
NC_003225.3	White_spot_syndrome_virus	White spot syndrome virus	GCF_000848085.2		CN01			309286	Penaeus japonicus	342409	1280
NC_001575.2	Rice_yellow_mottle_virus	Rice yellow mottle virus	GCF_000863085.1	CI4				4449		3432506	1275
NC_014070.1	Torque_teno_sus_virus_1a	Torque teno sus virus 1a	GCF_000888195.1	Sd-TTV31				2878	Sus scrofa	3048408	1265
NC_027059.1	Torque_teno_sus_virus_1b	Torque teno sus virus 1b	GCF_001008435.1	1p				2872	Sus scrofa	3048408	1265
NC_002024.2	Alfamovirus_AMV_RNA_2	Alfamovirus AMV	GCF_000847525.1				RNA 2	2593		12321	1226
NC_002025.1	Alfamovirus_AMV_RNA_3	Alfamovirus AMV	GCF_000847525.1		425 Madison		RNA 3	2037		12321	1226
NC_001495.1	Alfamovirus_AMV_RNA_1	Alfamovirus AMV	GCF_000847525.1		425 Leiden		RNA 1	3644		12321	1226
NC_001492.1	Cryphonectria_hypovirus_1	Cryphonectria hypovirus 1	GCF_000849145.1					12734	Cryphonectria parasitica	2955284	1225
NC_001749.2	Capillovirus_mali	Capillovirus mali	GCF_000859505.1					6495		28347	1218
NC_001468.1	Begomovirus_manihotis_DNA_B	Begomovirus manihotis	GCF_000857205.1	West Kenyan 844			DNA B	2724	Manihot esculenta	10817	1217
NC_001467.1	Begomovirus_manihotis_DNA_A	Begomovirus manihotis	GCF_000857205.1	West Kenyan 844			DNA A	2779	Manihot esculenta	10817	1217
NC_003615.1	Grapevine_fanleaf_virus_RNA_1	Grapevine fanleaf virus	GCF_000860305.1		F13		RNA 1	7342		3047852	1214
NC_003623.1	Grapevine_fanleaf_virus_NC_003623_1	Grapevine fanleaf virus	GCF_000860305.1		F13			3774		3047852	1214
NC_075369.1	Anelloviridae_sp_ctbg056	Anelloviridae sp.	GCF_004285195.1	ctbg056				2381	Homo sapiens	2055263	1180
NC_075370.1	Anelloviridae_sp_ctbc019	Anelloviridae sp.	GCF_004285675.1	ctbc019				2668	Homo sapiens	2055263	1180
NC_075371.1	Anelloviridae_sp_ctbf050	Anelloviridae sp.	GCF_004285795.1	ctbf050				2536	Homo sapiens	2055263	1180
NC_075372.1	Anelloviridae_sp_ctbi042	Anelloviridae sp.	GCF_004286375.1	ctbi042				1744	Homo sapiens	2055263	1180
NC_075373.1	Anelloviridae_sp_ctbb016	Anelloviridae sp.	GCF_004286455.1	ctbb016				2810	Homo sapiens	2055263	1180
NC_075374.1	Anelloviridae_sp_ctga035	Anelloviridae sp.	GCF_004286675.1	ctga035				2854	Homo sapiens	2055263	1180
NC_075375.1	Anelloviridae_sp_ctbd020	Anelloviridae sp.	GCF_004286695.1	ctbd020				2368	Homo sapiens	2055263	1180
NC_075376.1	Anelloviridae_sp_ctbf014	Anelloviridae sp.	GCF_004286755.1	ctbf014				2691	Homo sapiens	2055263	1180
NC_075377.1	Anelloviridae_sp_ctei055	Anelloviridae sp.	GCF_004286855.1	ctei055				2407	Homo sapiens	2055263	1180
NC_075378.1	Anelloviridae_sp_ctea38	Anelloviridae sp.	GCF_004287275.1	ctea38				2679	Homo sapiens	2055263	1180
NC_075379.1	Anelloviridae_sp_ctcd026	Anelloviridae sp.	GCF_004287315.1	ctcd026				1871	Homo sapiens	2055263	1180
NC_075380.1	Anelloviridae_sp_ctcf040	Anelloviridae sp.	GCF_004287355.1	ctcf040				2550	Homo sapiens	2055263	1180
NC_075381.1	Anelloviridae_sp_ctcf007	Anelloviridae sp.	GCF_004289775.1	ctcf007				1835		2055263	1180
NC_075382.1	Anelloviridae_sp_ctcf003_NC_075382_1	Anelloviridae sp.	GCF_004289975.1	ctcf003				2218		2055263	1180
NC_075383.1	Anelloviridae_sp_ctdc005	Anelloviridae sp.	GCF_004290255.1	ctdc005				1973		2055263	1180
NC_075384.1	Anelloviridae_sp_ctbb005	Anelloviridae sp.	GCF_004290555.1	ctbb005				1921		2055263	1180
NC_075385.1	Anelloviridae_sp_ctbb008	Anelloviridae sp.	GCF_004290615.1	ctbb008				1833		2055263	1180
NC_075386.1	Anelloviridae_sp_ctbd010	Anelloviridae sp.	GCF_004290675.1	ctbd010				1774		2055263	1180
NC_075388.1	Anelloviridae_sp_ctcf003_NC_075388_1	Anelloviridae sp.	GCF_004290875.1	ctcf003				1996		2055263	1180
NC_075389.1	Anelloviridae_sp_ctdb009	Anelloviridae sp.	GCF_004290895.1	ctdb009				1801		2055263	1180
NC_075390.1	Anelloviridae_sp_cthe000	Anelloviridae sp.	GCF_004290995.1	cthe000				2733		2055263	1180
NC_075447.1	Anelloviridae_sp_vzttmv5	Anelloviridae sp.	GCF_006370125.1		vzttmv5			2919	Homo sapiens	2055263	1180
NC_002361.1	Columbid_circovirus	Columbid circovirus	GCF_000843885.1					2037	Columbidae	3050342	1166
NC_003737.1	Rice_black_streaked_dwarf_virus_6	Rice black streaked dwarf virus	GCF_000852945.1				6	2645	Oryza sativa	3428768	1149
NC_003729.1	Rice_black_streaked_dwarf_virus_1	Rice black streaked dwarf virus	GCF_000852945.1				1	4501	Oryza sativa	3428768	1149
NC_003728.1	Rice_black_streaked_dwarf_virus_3	Rice black streaked dwarf virus	GCF_000852945.1				3	3572	Oryza sativa	3428768	1149
NC_003730.1	Rice_black_streaked_dwarf_virus_7	Rice black streaked dwarf virus	GCF_000852945.1				7	2193	Oryza sativa	3428768	1149
NC_003734.1	Rice_black_streaked_dwarf_virus_2	Rice black streaked dwarf virus	GCF_000852945.1				2	3812	Oryza sativa	3428768	1149
NC_003736.1	Rice_black_streaked_dwarf_virus_5	Rice black streaked dwarf virus	GCF_000852945.1				5	3164	Oryza sativa	3428768	1149
NC_003732.1	Rice_black_streaked_dwarf_virus_8	Rice black streaked dwarf virus	GCF_000852945.1				8	1936	Oryza sativa	3428768	1149
NC_003733.1	Rice_black_streaked_dwarf_virus_10	Rice black streaked dwarf virus	GCF_000852945.1				10	1801	Oryza sativa	3428768	1149
NC_003735.1	Rice_black_streaked_dwarf_virus_4	Rice black streaked dwarf virus	GCF_000852945.1				4	3617	Oryza sativa	3428768	1149
NC_003731.1	Rice_black_streaked_dwarf_virus_9	Rice black streaked dwarf virus	GCF_000852945.1				9	1900	Oryza sativa	3428768	1149
NC_001346.2	Maize_streak_virus_A_Ama	Maize streak virus - A[Ama]	GCF_000847105.2	MSV-Ama	MSV-A			2689		3430734	1142
NC_075135.1	Maize_streak_virus_A_South_Africa	Maize streak virus - A[South Africa]	GCF_003048235.1		South African			2690		3430734	1142
NC_001409.1	Trichovirus_mali	Trichovirus mali	GCF_000848285.1					7555		12175	1138
NC_020474.2	Elephantid_betaherpesvirus_1	Elephantid betaherpesvirus 1	GCF_000905835.1		Raman			180421	Elephas maximus	3050273	1128
NC_028752.1	Camel_alphacoronavirus	Camel alphacoronavirus	GCF_001500975.1	camel/Riyadh/Ry141/2015				27395	Camelus	3433756	1079
NC_002645.1	Human_coronavirus_229E	Human coronavirus 229E	GCF_000853505.1					27317		3433756	1079
NC_001652.1	Infectious_hematopoietic_necrosis_virus	Infectious hematopoietic necrosis virus	GCF_000850065.1		WRAC			11131	Oncorhynchus tshawytscha	1980917	1050
NC_001574.1	Cacao_swollen_shoot_virus	Cacao swollen shoot virus	GCF_000844305.1					7161		3047713	1037
NC_002532.2	Equine_arteritis_virus	Equine arteritis virus	GCF_000860865.1		Bucyrus			12704		2499620	1032
NC_003462.2	Foveavirus_mali	Foveavirus mali	GCF_000850465.1	PA66	ASPV			9332		35350	1029
NC_001488.1	Human_T_lymphotropic_virus_2	Human T-lymphotropic virus 2	GCF_000847505.1					8952		3428213	1022
NC_001815.1	Simian_T_lymphotropic_virus_2	Simian T-lymphotropic virus 2	GCF_000860005.1	STLV-2PP1664	PP1664			8855	Pan paniscus	3428213	1022
NC_014037.1	Sugarcane_streak_mosaic_virus	Sugarcane streak mosaic virus	GCF_000887195.1	PAK				9782	Saccharum sp.	3431714	1022
NC_038815.1	Cardamom_bushy_dwarf_virus_M	Cardamom bushy dwarf virus	GCF_002867695.1				M	1083	Elettaria cardamomum	3426587	1012
NC_038813.1	Cardamom_bushy_dwarf_virus_DNA_U3	Cardamom bushy dwarf virus	GCF_002867695.1				DNA-U3	1088	Elettaria cardamomum	3426587	1012
NC_038809.1	Cardamom_bushy_dwarf_virus_NC_038809_1	Cardamom bushy dwarf virus	GCF_002867695.1					1028	Elettaria cardamomum	3426587	1012
NC_038810.1	Cardamom_bushy_dwarf_virus_NC_038810_1	Cardamom bushy dwarf virus	GCF_002867695.1					1086	Elettaria cardamomum	3426587	1012
NC_038811.1	Cardamom_bushy_dwarf_virus_DNA_U2	Cardamom bushy dwarf virus	GCF_002867695.1				DNA-U2	1079	Elettaria cardamomum	3426587	1012
