accession	tree_name	organism	assembly	isolate	strain	serotype	segment	length	host	Taxonomy_ID	GenBank_Count
NC_007361.1	Influenza_A_virus_A_goose_Guangdong_1_1996_H5N1_6	Influenza A virus (A/goose/Guangdong/1/1996(H5N1))	GCF_000864105.1	A/Goose/Guangdong/1/96(H5N1)	A/Goose/Guangdong/1/96(H5N1)		6	1458		2955291	1394064
NC_007357.1	Influenza_A_virus_A_goose_Guangdong_1_1996_H5N1_1	Influenza A virus (A/goose/Guangdong/1/1996(H5N1))	GCF_000864105.1	A/Goose/Guangdong/1/96(H5N1)	A/Goose/Guangdong/1/96(H5N1)		1	2341		2955291	1394064
NC_007359.1	Influenza_A_virus_A_goose_Guangdong_1_1996_H5N1_3	Influenza A virus (A/goose/Guangdong/1/1996(H5N1))	GCF_000864105.1	A/goose/Guangdong/1/1996	A/goose/Guangdong/1/1996	H5N1	3	2233	Anatidae	2955291	1394064
NC_007358.1	Influenza_A_virus_A_goose_Guangdong_1_1996_H5N1_2	Influenza A virus (A/goose/Guangdong/1/1996(H5N1))	GCF_000864105.1		A/goose/Guangdong/1/1996	H5N1	2	2341	Anatidae	2955291	1394064
NC_001802.1	Human_immunodeficiency_virus_1	Human immunodeficiency virus 1	GCF_000864765.1					9181	Homo sapiens	3418650	1190887
NC_038882.1	Hepatitis_C_virus_isolate_H77	Hepatitis C virus (isolate H77)	GCF_002820805.1		H77			9599		3052230	276449
NC_004102.1	Hepatitis_C_virus_genotype_1	Hepatitis C virus genotype 1	GCF_000861845.1	H77		1a		9646		3052230	276449
NC_009823.1	Hepatitis_C_virus_genotype_2	Hepatitis C virus genotype 2	GCF_000871165.1		HC-J6CH			9711		3052230	276449
NC_009824.1	Hepatitis_C_virus_genotype_3	Hepatitis C virus genotype 3	GCF_000874285.1	NZL1				9456	Homo sapiens	3052230	276449
NC_009825.1	Hepatitis_C_virus_genotype_4	Hepatitis C virus genotype 4	GCF_000874265.1	ED43				9355	Homo sapiens	3052230	276449
NC_009827.1	Hepatitis_C_virus_genotype_6	Hepatitis C virus genotype 6	GCF_000872025.1	Th580				9628		3052230	276449
NC_002206.1	Influenza_B_virus_B_Lee_1940_3	Influenza B virus (B/Lee/1940)	GCF_000820495.2		B/Lee/1940		3	2204		2955465	180875
NC_002205.1	Influenza_B_virus_B_Lee_1940_2	Influenza B virus (B/Lee/1940)	GCF_000820495.2		B/Lee/1940		2	2313		2955465	180875
NC_002204.1	Influenza_B_virus_B_Lee_1940_1	Influenza B virus (B/Lee/1940)	GCF_000820495.2	B/Lee/1940	B/Lee/1940		1	2368		2955465	180875
NC_002210.1	Influenza_B_virus_B_Lee_1940_7	Influenza B virus (B/Lee/1940)	GCF_000820495.2		B/Lee/1940		7	1191		2955465	180875
NC_002208.1	Influenza_B_virus_B_Lee_1940_5	Influenza B virus (B/Lee/1940)	GCF_000820495.2		B/Lee/1940		5	1841		2955465	180875
NC_002211.1	Influenza_B_virus_B_Lee_1940_8	Influenza B virus (B/Lee/1940)	GCF_000820495.2		B/Lee/1940		8	1096		2955465	180875
NC_002207.1	Influenza_B_virus_B_Lee_1940_4	Influenza B virus (B/Lee/1940)	GCF_000820495.2		B/Lee/40		4	1882		2955465	180875
NC_002209.1	Influenza_B_virus_B_Lee_1940_6	Influenza B virus (B/Lee/1940)	GCF_000820495.2		B/Lee/1940		6	1557		2955465	180875
NC_003977.2	Hepatitis_B_virus	Hepatitis B virus	GCF_000861825.2		ayw			3182		3431302	136187
NC_011508.2	Rotavirus_A_3	Rotavirus A	GCF_000880735.1	RVA/Simian-tc/ZAF/SA11-H96/1958/G3P5B[2]	RVA/Simian-tc/ZAF/SA11-H96/1958/G3P5B[2]	G3	3	2591		3432193	128784
NC_011502.2	Rotavirus_A_8	Rotavirus A	GCF_000880735.1	RVA/Simian-tc/ZAF/SA11-H96/1958/G3P5B[2]	RVA/Simian-tc/ZAF/SA11-H96/1958/G3P5B[2]	G3	8	1059		3432193	128784
NC_011505.2	Rotavirus_A_11	Rotavirus A	GCF_000880735.1	RVA/Simian-tc/ZAF/SA11-H96/1958/G3P5B[2]	RVA/Simian-tc/ZAF/SA11-H96/1958/G3P5B[2]	G3	11	667		3432193	128784
NC_011509.2	Rotavirus_A_6	Rotavirus A	GCF_000880735.1	RVA/Simian-tc/ZAF/SA11-H96/1958/G3P5B[2]	RVA/Simian-tc/ZAF/SA11-H96/1958/G3P5B[2]	G3	6	1356		3432193	128784
NC_011510.2	Rotavirus_A_4	Rotavirus A	GCF_000880735.1	RVA/Simian-tc/ZAF/SA11-H96/1958/G3P5B[2]	RVA/Simian-tc/ZAF/SA11-H96/1958/G3P5B[2]	G3	4	2362		3432193	128784
NC_011507.2	Rotavirus_A_1	Rotavirus A	GCF_000880735.1	RVA/Simian-tc/ZAF/SA11-H96/1958/G3P5B[2]	RVA/Simian-tc/ZAF/SA11-H96/1958/G3P5B[2]	G3	1	3302		3432193	128784
NC_011504.2	Rotavirus_A_10	Rotavirus A	GCF_000880735.1	RVA/Simian-tc/ZAF/SA11-H96/1958/G3P5B[2]	RVA/Simian-tc/ZAF/SA11-H96/1958/G3P5B[2]	G3	10	751		3432193	128784
NC_011503.2	Rotavirus_A_9	Rotavirus A	GCF_000880735.1	RVA/Simian-tc/ZAF/SA11-H96/1958/G3P5B[2]	RVA/Simian-tc/ZAF/SA11-H96/1958/G3P5B[2]	G3	9	1062		3432193	128784
NC_011506.2	Rotavirus_A_2	Rotavirus A	GCF_000880735.1	RVA/Simian-tc/ZAF/SA11-H96/1958/G3P5B[2]	RVA/Simian-tc/ZAF/SA11-H96/1958/G3P5B[2]	G3	2	2693		3432193	128784
NC_011501.2	Rotavirus_A_7	Rotavirus A	GCF_000880735.1	RVA/Simian-tc/ZAF/SA11-H96/1958/G3P5B[2]	RVA/Simian-tc/ZAF/SA11-H96/1958/G3P5B[2]	G3	7	1105		3432193	128784
NC_044853.1	Norovirus_GI_Hu_JP_1998_GI_6_PNA4_No20_Saitama_98_17	Norovirus GI	GCF_008703965.1		Hu/JP/1998/GI.6[PNA4]/No20-Saitama-98-17			7677	Homo sapiens	3431196	63009
NC_044856.1	Norovirus_GI_Hu_BD_2011_GI_7_PNA2_Dhaka1882	Norovirus GI	GCF_008704025.1		Hu/BD/2011/GI.7[PNA2]/Dhaka1882			7734	Homo sapiens	3431196	63009
NC_039897.1	Norovirus_GI_Hu_JP_2007_GI_P3_GI_3_Shimizu_KK2866	Norovirus GI/Hu/JP/2007/GI.P3_GI.3/Shimizu/KK2866	GCF_003813225.1	Shimizu/KK2866				7745	Homo sapiens	3431196	63009
NC_039477.1	Norovirus_GII_NORO_226_06_01_2016	Norovirus GII	GCF_003638685.1	NORO_226_06_01_2016				7567	Homo sapiens	3431196	63009
NC_040876.1	Norovirus_GII_NORO_176_1_17_12_2015	Norovirus GII	GCF_004193815.1	NORO_176-1_17_12_2015				7521	Homo sapiens	3431196	63009
NC_039475.1	Norovirus_GII_17	Norovirus GII.17	GCF_003638645.1		Hu/GII.P17_GII.17/KR/2015/CAU-267			7556	Homo sapiens	3431196	63009
NC_039476.1	Norovirus_GII_2	Norovirus GII.2	GCF_003638665.1	BJSMQ				7536		3431196	63009
NC_044045.1	Norovirus_GII_Hu_JP_2007_GII_P15_GII_15_Sapporo_HK299	Norovirus GII/Hu/JP/2007/GII.P15_GII.15/Sapporo/HK299	GCF_007608995.1	Sapporo/HK299				7551	Homo sapiens	3431196	63009
NC_044046.1	Norovirus_GII_Hu_JP_2011_GII_Yuzawa_Gira2HS	Norovirus GII/Hu/JP/2011/GII/Yuzawa/Gira2HS	GCF_007609035.1	Yuzawa/Gira2HS				7543	Homo sapiens	3431196	63009
NC_008311.1	Norovirus_GV	Norovirus GV	GCF_000868425.1	Mu/NoV/GV/MNV1/2002/USA				7382		3431196	63009
NC_029646.1	Norwalk_like_virus	Norwalk-like virus	GCF_001595695.1		Hu/Norovirus/hiroshima/1999/JP(9912-02F)			7518		3431196	63009
NC_031324.1	Primate_norovirus	Primate norovirus	GCF_001755385.1		SimianNoV-nj			7753		3431196	63009
NC_001781.1	Human_orthopneumovirus_B1	Human orthopneumovirus	GCF_000855545.1		B1			15225		3049954	59101
NC_038235.1	Human_orthopneumovirus_NC_038235_1	Human orthopneumovirus	GCF_002815475.1					15222		3049954	59101
NC_001803.1	Human_respiratory_syncytial_virus_A	Human respiratory syncytial virus A	GCF_000856445.1		S2 ts1C			15191		3049954	59101
NC_001477.1	dengue_virus_type_1	dengue virus type 1	GCF_000862125.1					10735		3052464	53911
NC_001474.2	dengue_virus_type_2	dengue virus type 2	GCF_000871845.1		16681			10723		3052464	53911
NC_001475.2	dengue_virus_type_3	dengue virus type 3	GCF_000866625.1	D3/H/IMTSSA-SRI/2000/1266				10707		3052464	53911
NC_002640.1	dengue_virus_type_4	dengue virus type 4	GCF_000865065.1					10649		3052464	53911
NC_001961.1	Porcine_reproductive_and_respiratory_syndrome_virus	Porcine reproductive and respiratory syndrome virus	GCF_000862745.1					15428		2499685	49689
NC_038291.1	Porcine_reproductive_and_respiratory_syndrome_virus_2	Porcine reproductive and respiratory syndrome virus 2	GCF_002816115.1		ATCC VR-2332			15411	Sus scrofa	2499685	49689
NC_038306.1	Coxsackievirus_A2	Coxsackievirus A2	GCF_002816655.1	CA2	Fleetwood			7398		3428500	47778
NC_001612.1	Enterovirus_A	Enterovirus A	GCF_000861905.1					7413		3428500	47778
NC_030454.1	enterovirus_A114	enterovirus A114	GCF_001684625.1	V13-0285	V13-0285	EV-A114		7317	Homo sapiens	3428500	47778
NC_038307.1	Coxsackievirus_B3	Coxsackievirus B3	GCF_002816685.1					7399	Homo sapiens	3428502	32791
NC_001472.1	Enterovirus_B	Enterovirus B	GCF_000861325.1					7389		3428502	32791
NC_001542.1	Lyssavirus_rabies	Lyssavirus rabies	GCF_000859625.1					11932		11292	32086
NC_001461.1	Bovine_viral_diarrhea_virus_1	Bovine viral diarrhea virus 1	GCF_000861245.1		NADL			12573		3052619	25419
NC_076029.1	Bovine_viral_diarrhea_virus_1_SD1	Bovine viral diarrhea virus 1-SD1	GCF_013088505.1					12308		3052619	25419
NC_001498.1	Measles_morbillivirus	Measles morbillivirus	GCF_000854845.1		Ichinose-B95a			15894		3052345	24784
NC_001563.2	West_Nile_virus_956	West Nile virus	GCF_000861085.1		956			10962		3048448	24399
NC_009942.1	West_Nile_virus_385_99	West Nile virus	GCF_000875385.1	385-99	NY99			11029		3048448	24399
NC_001526.4	Human_papillomavirus_16	Human papillomavirus 16	GCF_000863945.2					7906		337041	22862
NC_048214.1	Duck_coronavirus	Duck coronavirus	GCF_012271565.1	DK/GD/27/2014				27754	Anatidae	3433766	19153
NC_001451.1	Infectious_bronchitis_virus_Beaudette	Infectious bronchitis virus	GCF_000862965.1		Beaudette			27608		3433766	19153
NC_048213.1	Infectious_bronchitis_virus_Ind_TN92_03	Infectious bronchitis virus	GCF_012271575.1	Ind-TN92-03				27464	Gallus gallus	3433766	19153
NC_010800.1	Turkey_coronavirus	Turkey coronavirus	GCF_000880055.1	MG10				27657	Meleagris gallopavo	3433766	19153
NC_039223.1	Avian_orthoavulavirus_1_JSD0812	Avian orthoavulavirus 1	GCF_002834085.1	JSD0812				15192	Anas platyrhynchos	3051375	16948
NC_075404.1	Avian_orthoavulavirus_1_chicken_N_Ireland_Ulster_67	Avian orthoavulavirus 1	GCF_004786615.1	chicken/N. Ireland/Ulster/67				15186		3051375	16948
NC_039210.1	Foot_and_mouth_disease_virus_O	Foot-and-mouth disease virus O	GCF_002816555.1	o6pirbright iso58	O6	O		8201		3426401	16298
NC_001434.1	Hepatitis_E_virus	Hepatitis E virus	GCF_000861105.1		Xinjiang			7176		291484	16232
NC_001659.2	African_swine_fever_virus_BA71V	African swine fever virus	GCF_000858485.1	BA71V	BA71V			170101		3426474	16067
NC_044941.1	African_swine_fever_virus_L60	African swine fever virus	GCF_003032865.1	L60	L60			182362	Sus scrofa domesticus	3426474	16067
NC_044942.1	African_swine_fever_virus_BA71	African swine fever virus	GCF_003032875.1	BA71	BA71			180365	Sus scrofa	3426474	16067
NC_044943.1	African_swine_fever_virus_NHV	African swine fever virus	GCF_003032885.1	NHV	NHV			172051	Sus scrofa domesticus	3426474	16067
NC_044944.1	African_swine_fever_virus_Kenya_1950	African swine fever virus	GCF_003032895.1	Kenya 1950				193886	Sus scrofa domesticus	3426474	16067
NC_044945.1	African_swine_fever_virus_Ken05_Tk1	African swine fever virus	GCF_003032905.1	Ken05/Tk1	Ken05/Tk1			191058		3426474	16067
NC_044946.1	African_swine_fever_virus_Ken06_Bus	African swine fever virus	GCF_003032915.1	Ken06.Bus	Ken06.Bus			184368		3426474	16067
NC_044947.1	African_swine_fever_virus_26544_OG10	African swine fever virus	GCF_003032925.1	26544/OG10				182906	Sus scrofa	3426474	16067
NC_044948.1	African_swine_fever_virus_Odintsovo_02_14	African swine fever virus	GCF_003032935.1	Odintsovo_02/14				189333	Sus scrofa	3426474	16067
NC_044949.1	African_swine_fever_virus_Warthog	African swine fever virus	GCF_003032945.1	Warthog				186528	Phacochoerus africanus	3426474	16067
NC_044950.1	African_swine_fever_virus_Warmbaths	African swine fever virus	GCF_003032955.1	Warmbaths				190773	Ixodoidea	3426474	16067
NC_044951.1	African_swine_fever_virus_Tengani_62	African swine fever virus	GCF_003032965.1	Tengani 62				185689		3426474	16067
NC_044952.1	African_swine_fever_virus_Pretorisuskop_96_4	African swine fever virus	GCF_003032975.1	Pretorisuskop/96/4				190324	Ornithodoros porcinus porcinus	3426474	16067
NC_044953.1	African_swine_fever_virus_Mkuzi_1979	African swine fever virus	GCF_003032985.1	Mkuzi 1979				192714	Ornithodoros	3426474	16067
NC_044954.1	African_swine_fever_virus_Malawi_Lil_20_1_1983	African swine fever virus	GCF_003032995.1	Malawi Lil-20/1 (1983)				187612	Ornithodoros	3426474	16067
NC_044955.1	African_swine_fever_virus_47_Ss_2008	African swine fever virus	GCF_003033005.1	47/Ss/2008				184638	Sus scrofa domesticus	3426474	16067
NC_044959.2	African_swine_fever_virus_ASFV_Georgia_2007_1	African swine fever virus	GCF_003047755.2	ASFV Georgia 2007/1				190584	Sus scrofa	3426474	16067
NC_044956.1	African_swine_fever_virus_Benin_97_1	African swine fever virus Benin 97/1	GCF_003047675.1	Benin 97/1				182284		3426474	16067
NC_044958.1	African_swine_fever_virus_E75	African swine fever virus E75	GCF_003047715.1		E75			181187		3426474	16067
NC_044957.1	African_swine_fever_virus_OURT_88_3	African swine fever virus OURT 88/3	GCF_003047695.1	OURT 88/3				171719		3426474	16067
NC_002058.3	Enterovirus_C	Enterovirus C	GCF_000861165.1	Human poliovirus 1 Mahoney	Human poliovirus 1 Mahoney			7440		3428505	15938
NC_002200.1	Mumps_orthorubulavirus	Mumps orthorubulavirus	GCF_000856685.1		Miyahara			15384		3052560	14594
NC_039199.1	Human_metapneumovirus	Human metapneumovirus	GCF_002815375.1	00-1				13350		3048148	13063
NC_006023.1	Bluetongue_virus_1	Bluetongue virus	GCF_000854445.3			10	1	3944		3431240	12842
NC_006014.1	Bluetongue_virus_3	Bluetongue virus	GCF_000854445.3				3	2772		3431240	12842
NC_006015.1	Bluetongue_virus_10	Bluetongue virus	GCF_000854445.3				10	822		3431240	12842
NC_006010.1	Bluetongue_virus_6	Bluetongue virus	GCF_000854445.3			10	6	1638		3431240	12842
NC_006007.1	Bluetongue_virus_8	Bluetongue virus	GCF_000854445.3			10	8	1125		3431240	12842
NC_006025.1	Bluetongue_virus_5	Bluetongue virus	GCF_000854445.3			10	5	1769		3431240	12842
NC_006022.1	Bluetongue_virus_7	Bluetongue virus	GCF_000854445.3	serotype 10	serotype 10		7	1156		3431240	12842
NC_006008.2	Bluetongue_virus_9	Bluetongue virus	GCF_000854445.3			10	9	1049		3431240	12842
NC_006024.2	Bluetongue_virus_4	Bluetongue virus	GCF_000854445.3			10	4	1980		3431240	12842
NC_007605.1	Human_gammaherpesvirus_4	Human gammaherpesvirus 4	GCF_002402265.1		B95-8			171823	Homo sapiens	3050299	12689
NC_009334.1	Human_herpesvirus_4_type_2	Human herpesvirus 4 type 2	GCF_000872045.1		AG876			172764	Homo sapiens	3050299	12689
NC_005148.1	Porcine_circovirus_2_AUT1	Porcine circovirus 2	GCF_000862765.1	AUT1				1768		3048279	12431
